roundStartTime,opAverageDurationInRound
71298201938938,1117489
71299320300427,1141153
71300467920431,1117440
71301586140831,1118558
71302705462917,1115136
71303821398175,1118900
71304941100270,1121085
71306062923340,1120296
71307183999114,1115685
71308301943960,1137612
71309446241636,1142809
71310590711643,1124754
71311717231073,1122571
71312842436191,1121152
71313965804478,1125087
71315091945431,1125905
71316219353013,1125067
71317345222770,1121003
71318467041061,1123497
71319591572127,1134386
71320727115451,1120337
71321848526440,1126178
71322975434927,1126539
71324102749772,1125426
71325231298116,1125743
71326357832759,1126465
71327485391895,1124991
71328611135171,1122190
71329738147352,1128497
71330867426509,1120777
71331988949487,1118456
71333108151842,1121221
71334230143022,1127937
71335358810782,1127112
71336486672366,1125599
71337613018631,1127256
71338741023828,1117288
71339859053830,1126504
71340986312816,1128179
71342115228791,1127028
71343243044265,1128885
71344372648126,1129999
71345503432300,1126049
71346630214368,1121954
71347752904772,1119979
71348873621903,1127053
71350001430829,1116232
71351124303358,1128588
71352253748788,1125549
71353380098838,1123626
71354504470979,1124989
71355630202801,1115362
71356750745925,1123356
71357874850414,1126163
71359001786671,1128992
71360131794395,1125902
71361258454193,1119356
71362378551689,1118751
71363499188131,1117918
71364617873783,1125262
71365743920741,1125858
71366870543344,1129093
71368000386770,1128201
71369129349239,1123410
71370253516309,1113759
71371367995874,1121304
71372490043376,1126193
71373616989527,1130264
71374751146302,1127819
71375879728009,1132950
71377013418203,1129988
71378144143680,1135962
71379280888331,1128282
71380409930238,1126823
71381537499343,1120878
71382659116386,1124488
71383784357533,1126390
71384911486527,1125790
71386038524407,1128483
71387167788090,1123527
71388292066745,1122500
71389415287537,1126968
71390542973288,1120267
71391663949149,1124528
71392789219388,1124849
71393914815786,1120453
71395036013968,1125723
71396162480269,1126142
71397290899098,1125028
71398416691685,1127816
71399545224022,1120609
71400666581170,1119544
71401786868366,1124367
71402911968246,1120026
71404032688907,1113293
71405146698703,1124798
71406272229747,1127977
71407400917812,1122532
71408524181079,1124533
71409649415341,1123205
71410773385951,1114534
71411888648956,1123996
71413013402693,1122609
71414136747379,1123419
71415260939372,1123503
71416385161767,1128867
71417514739485,1123499
71418638948906,1125825
71419765850327,1125582
71420892162847,1127747
71422020642662,1126109
71423147473957,1128039
71424276270020,1125300
71425402325391,1126306
71426529363288,1123577
71427653651286,1117969
71428772336537,1124726
71429897787050,1126907
71431025402437,1124410
71432150593810,1137105
71433288433874,1130859
71434420046392,1129201
71435549953298,1130739
71436681405719,1130470
71437812596521,1127487
71438940813765,1125442
71440067002989,1128651
71441197067534,1132805
71442331494287,1129677
71443461969195,1132397
71444595109484,1118191
71445714016499,1123536
71446838272802,1127264
71447966308838,1124088
71449091115984,1129737
71450221622853,1125967
71451348671168,1127155
71452476612030,1129837
71453607175744,1128688
71454736575358,1124848
71455862161962,1129501
71456992409896,1130655
71458123827595,1124547
71459249096962,1119081
71460368908187,1125558
71461495199774,1129081
71462624991173,1128676
71463754383762,1128028
71464883177867,1125193
71466009108366,1116637
71467126479933,1127207
71468255125203,1124774
71469382438112,1124926
71470508195493,1119811
71471629357072,1116569
71472747853984,1122028
71473874684937,1122986
71474998470941,1124571
71476123778302,1126409
71477250916120,1125626
71478377291239,1120257
71479498271763,1126539
71480625549259,1128415
71481754661959,1125397
71482880765584,1125569
71484007065695,1123439
71485131245605,1122458
71486254429700,1125444
71487380590222,1119893
71488501203507,1123110
71489625049988,1117430
71490743161085,1120758
71491864640866,1127633
71492993010256,1124728
71494120891971,1126431
71495248065906,1124654
71496373511985,1124530
71497498724437,1120259
71498619699497,1122951
71499743386991,1124037
71500868135002,1124899
71501993807057,1125489
71503120015352,1126967
71504247709732,1125582
71505374051908,1125446
71506500204676,1125282
71507626196568,1128186
71508755086855,1127816
71509883632411,1126800
71511011143609,1137063
71512148937846,1124787
71513274430916,1121945
71514397094097,1121085
71515518928110,1124774
71516645569329,1125673
71517771999827,1122647
71518895366244,1125422
71520021482938,1124891
71521147072438,1123840
71522271632841,1124950
71523397261328,1125854
71524523803449,1128777
71525653297999,1126608
71526780650966,1129479
71527910824556,1129254
71529040781265,1125251
71530166758847,1117139
71531284611428,1122231
71532407562993,1123969
71533532263405,1121765
71534654732270,1128585
71535784011024,1129671
71536914404904,1127788
71538042912048,1116179
71539159789778,1127921
71540288446847,1128413
71541419635509,1128612
71542548957115,1127389
71543677168088,1129580
71544807436073,1117272
71545925394630,1127625
71547053741860,1131783
71548186272605,1137864
71549324843384,1133589
71550459145029,1132365
71551592275263,1120062
71552713049215,1120217
71553833944530,1125643
71554960283290,1127458
71556088440164,1127579
71557216710981,1125863
71558343259812,1126728
71559470700555,1124120
71560595530733,1130277
71561726542078,1128175
71562855438639,1122300
71563978435911,1127464
71565106624043,1123284
71566230609542,1126747
71567358075703,1125460
71568484272650,1123537
71569608515144,1128239
71570737494256,1126836
71571865009820,1125536
71572991246941,1125122
71574117067770,1120583
71575238337942,1129417
71576368480157,1127208
71577496414672,1125798
71578622928495,1116622
71579740229581,1120836
71580861757884,1124108
71581986581287,1127977
71583115275566,1125227
71584241208136,1123973
71585366305399,1122095
71586489114703,1120156
71587610001981,1121098
71588731786166,1115071
71589847569939,1116732
71590965007488,1120908
71592086633988,1122651
71593210000101,1124708
71594335434654,1119122
71595460336554,1130108
71596591229522,1125697
71597717922278,1127747
71598846351117,1127460
71599974514725,1127181
71601102974176,1130209
71602233886435,1124583
71603359141780,1122893
71604482718109,1128056
71605611463890,1127662
71606739818467,1123817
71607864344938,1125104
71608990201765,1126346
71610117286755,1128647
71611246644319,1126620
71612378350381,1131674
71613516223493,1135832
71614652913706,1132078
