roundStartTime,opAverageDurationInRound
70718628601966,116996
70718746326861,146601
70718900275253,117238
70719018209922,117059
70719135948561,117231
70719253904570,117939
70719372542476,116818
70719490054737,116906
70719607631127,116477
70719724808650,148989
70719879545632,118055
70719998437800,117600
70720116724593,117583
70720235456213,116746
70720354817827,116832
70720473635587,116820
70720593529579,116639
70720710883245,117619
70720829174006,117147
70720947286743,116154
70721064530095,116557
70721182031646,116085
70721298801044,116103
70721415572705,116083
70721535001715,116025
70721651776402,116100
70721768850186,116702
70721886213618,117357
70722008613492,116464
70722125775220,116105
70722242463292,116598
70722359733785,117785
70722481141116,117009
70722598838882,117740
70722717211342,117516
70722835386175,117710
70722953751062,116904
70723071342546,117579
70723189573791,117523
70723307733841,118111
70723426479301,117542
70723544655835,117462
70723662746889,116603
70723780024437,118125
70723898797086,117917
70724017355967,116486
70724134520798,117332
70724256275189,130608
70724387677794,118918
70724507246258,118957
70724626844458,117654
70724745159873,118430
70724864279500,118096
70724983034642,117461
70725101132133,117674
70725219476041,117621
70725337704751,116907
70725455244141,117648
70725574657996,117967
70725694784439,119120
70725814579362,118270
70725933492251,117831
70726052000105,117747
70726170385784,118241
70726289269735,118047
70726407941103,118190
70726526791681,118029
70726645470975,118556
70726764896047,118048
70726883610333,117828
70727002079422,118131
70727120850404,117744
70727239283170,117748
70727357666428,118151
70727476516775,118918
70727596119060,118411
70727715179077,119134
70727835004433,119096
70727955194162,118564
70728074452195,118660
70728193760719,118435
70728312839865,118206
70728431691924,118010
70728550375973,118498
70728669518112,117915
70728788098488,117976
70728906762334,118099
70729025532496,117623
70729145385167,117518
70729263582797,118628
70729382865640,118019
70729501530616,116929
70729619118017,118745
70729738530929,118369
70729857530829,118534
70729976753271,117545
70730094975237,119032
70730214678737,117623
70730332996405,118385
70730452031050,117559
70730570212221,117941
70730688789518,118178
70730807599739,117736
70730925988273,117521
70731044168262,117503
70731162339271,118193
70731281182759,118494
70731400346165,118085
70731519057784,117377
70731637089347,117909
70731755653310,117843
70731874145335,117165
70731991940238,118723
70732111304253,118552
70732230845567,117429
70732348940524,117981
70732467558074,117921
70732586137902,118391
70732705212866,118125
70732824002209,117807
70732942470748,118290
70733061415113,118475
70733180559662,117615
70733298807179,117765
70733417234079,117844
70733535728187,116115
70733652483888,118049
70733776274430,118396
70733896330205,117587
70734014620024,116702
70734132018651,117853
70734250542147,118808
70734370000375,117633
70734488324543,117717
70734606685964,118227
70734725535431,117870
70734844043135,118380
70734963057519,116968
70735080657588,118318
70735199614698,118359
70735318911912,118970
70735438538593,118142
70735557319161,117282
70735675225448,118070
70735793929066,118452
70735913078412,118408
70736032191342,118040
70736150858518,117887
70736269393775,117830
70736387896293,117475
70736506006028,117114
70736624458145,117637
70736743614777,118214
70736862584726,118394
70736983583802,116977
70737102424321,118704
70737226121222,119864
70737346720240,118204
70737465540159,118291
70737584482242,117445
70737702545564,118338
70737821505151,118062
70737940212447,117401
70738058257824,118433
70738177324527,117894
70738295882404,117202
70738413724447,117483
70738531834805,117067
70738649561177,116327
70738766534021,117538
70738884731671,117875
70739003261848,117069
70739120977255,117062
70739238692390,117341
70739358992326,117573
70739477223728,118131
70739596030697,117958
70739714633994,117954
70739833212366,117677
70739951518990,118392
70740070581023,118560
70740189799789,118160
70740308620986,118600
70740427859000,117882
70740546423261,117902
70740664983938,117255
70740782852708,118693
70740902184583,117839
70741020676833,117979
70741139275096,118050
70741257967242,118123
70741376714304,118811
70741496196410,117465
70741614284476,118201
70741734351669,118361
70741853393765,118022
70741972089073,117901
70742090620066,118074
70742209310203,117650
70742327575859,117841
70742446052948,116888
70742563581000,116815
70742681049720,118106
70742799767094,117592
70742918008754,118275
70743036914491,117376
70743154947750,117870
70743273485775,117961
70743392135909,118177
70743510980123,117746
70743629361752,118189
70743748219965,117229
70743866069905,117969
70743984711589,116557
70744101897864,117396
70744219938699,117831
70744340292568,116688
70744457631604,117576
70744575917886,116982
70744693574306,118630
70744812853216,117286
70744931146123,117485
70745049261392,118212
70745168112166,118227
70745286959850,118432
70745406026661,118184
70745524836754,118355
70745643842122,119592
70745764120844,117769
70745882521151,118866
70746002021697,117356
70746120015032,118046
70746238662113,117924
70746357205632,116904
70746474722937,117803
70746593159021,117744
70746711562548,117834
70746830027003,117459
70746948152042,117572
70747066432341,117154
70747184267801,117592
70747302490982,117595
70747420720804,117528
70747538880830,116994
70747656508858,117940
70747775090309,116861
70747892607468,117789
70748011081468,117240
70748128973046,116096
70748245746150,116633
70748363011999,117072
70748480723010,115851
70748597188634,116000
70748713805196,117119
70748831563931,117303
70748949859211,117807
70749068312950,116283
70749185239448,117107
70749302981081,116037
70749419673155,116873
70749537187320,116486
70749654322363,116291
70749776207003,118627
70749895516500,117879
70750014031402,117204
70750131882757,118208
70750250732792,117882
70750369270550,117737
70750487925739,117115
70750605739493,117425
70750723794977,118080
70750842499564,121288
70750964961273,121097
70751086683188,119173
70751206498009,117729
70751324865605,118423
70751443911711,118305
70751562866304,117548
70751681052241,118657
70751801787006,118342
70751924235602,124278
70752053429229,119155
70752173208354,117865
70752295109246,118408
70752417557387,118768
70752537016406,117490
70752655155873,118140
70752773931906,118152
70752892691504,118390
70753011678812,124418
70753136697931,118437
70753255717111,119402
70753375710787,118128
70753494441265,117093
70753612157551,118045
70753730811845,119062
70753850471679,118114
70753969204149,117779
70754087575984,120360
70754208550369,117381
70754326537738,118126
70754445266057,117989
70754563832516,117412
70754681839944,118037
70754800468164,118258
70754919305388,118044
70755037965008,118199
70755156758494,117831
70755275193645,117819
70755393604477,117706
70755511916555,117245
70755629747860,117581
70755747929803,118367
70755866914402,120671
70755988231584,117357
70756106199097,119296
70756226086078,117077
70756343763312,117399
70756461755387,117879
70756580228694,117880
70756698694886,118179
70756818038550,118173
70756936852010,117646
70757055395715,117940
70757173955466,118586
70757293140784,118708
70757412475944,116642
70757529706892,117157
70757647450078,117748
70757765817386,117859
70757884267080,117340
70758002192582,116356
70758119135411,117583
70758237303869,117488
70758355416681,117142
70758473148691,117760
70758591491040,117117
70758709201528,117998
70758827812068,118250
70758946651823,117730
70759064976031,117549
70759183135056,118139
70759301854128,117817
70759422277809,118628
70759541543487,118616
70759660827921,118560
70759780015805,119534
70759900159259,118058
70760018796069,118269
70760137623356,117031
70760255263231,116954
70760372786428,118267
70760491624707,118388
70760610585965,117676
70760728838402,117668
70760847111797,118487
70760966174819,118509
70761085328394,117980
70761203865741,118434
70761322882336,118147
70761441605434,118507
70761560715669,117230
70761678543488,118172
70761797307779,118808
70761916684468,119217
70762036497824,119132
70762156245400,117548
70762274369034,117639
70762392610772,117692
70762510913784,118021
70762629495744,118669
70762748909384,118012
70762870570303,118300
70762989508815,118070
70763108162767,118831
70763227590315,118854
70763347043085,118054
70763465662090,117433
70763583695283,116831
70763701111792,116982
70763818646423,116788
70763936000441,117973
70764054951591,117016
70764172523722,117688
70764290818027,116976
70764408365414,116610
70764525576974,116302
70764642458619,117283
70764760304924,116756
70764877598957,116907
70764995088335,117005
70765112654165,117146
70765230397126,118099
70765349074011,118233
70765467919822,117517
70765586018195,117823
70765704413915,118090
70765823089948,117739
70765941447786,118591
70766060637748,117310
70766178529159,117888
70766297005145,118427
70766416018129,117819
70766534418506,117179
70766652212751,117021
70766769792410,117125
70766887489581,117577
70767005988093,116621
70767123544656,117134
70767241272963,117687
70767359527288,117483
70767478097641,116633
70767595335651,116998
70767712995343,117916
70767831459088,117625
70767949666636,118166
70768068408514,116876
70768185870318,117358
70768303773218,117397
70768421728105,116671
70768538944547,116158
70768655650331,117044
70768773284203,116896
70768890739373,118152
70769009469315,117691
70769127753672,117344
70769245681891,118472
70769364742037,117992
70769483288395,117285
70769601154719,117240
70769718959875,118256
70769837761752,117334
70769955674979,116805
70770073059847,117107
70770190733755,115963
70770307288952,116375
70770424225429,116492
70770541296592,116961
70770658804252,118180
70770777565467,118230
70770896396144,116473
70771013442765,116699
70771130712435,116931
70771248205665,117513
70771366292350,116779
70771483676629,117733
70771601998472,116275
70771718826151,117227
70771836628467,117244
70771954502670,118079
70772073185616,117611
70772191382206,118092
70772310036270,117939
70772428528052,115922
70772545031934,116115
70772661724132,117281
70772779572979,117361
70772897462844,116657
70773014694879,117166
70773132432121,116965
70773249946715,116825
70773367330342,117052
70773484947703,116615
70773605664071,116583
70773722869529,117331
70773840802956,116632
70773957971652,117351
70774075893800,117128
70774193610029,117015
70774311198923,116852
70774428587715,116722
70774545836222,117157
70774663577138,118698
70774782880400,117065
70774900499659,118092
70775019158190,116649
70775136384111,118246
70775255192230,117074
70775372800245,118168
70775491529700,117144
70775609297297,116200
70775726035832,117754
70775844387237,116806
70775961773181,117720
70776080093470,117256
70776197902813,117033
70776315474355,117518
70776433573690,116410
70776550524938,116276
70776667395878,116903
70776784873261,118129
70776903532084,117717
70777021801511,117322
70777139664098,117708
70777258703729,116536
70777375846967,118489
70777494917938,118017
70777613481667,117927
70777731991490,118018
70777850582254,118342
70777969513207,117742
70778087810549,116708
70778205058647,117419
70778323053074,116692
70778440316593,117137
70778558008212,117438
70778676035209,117222
70778793811062,117818
70778912222885,116595
70779029391708,116838
70779146819994,116844
70779264248402,116991
70779381806875,117625
70779499995125,117300
70779617879880,117035
70779735482170,117379
70779853428312,117199
70779971200667,118057
70780089837552,117940
70780208375667,117317
70780326286853,117424
70780444283375,116834
70780561691048,115967
70780678198646,117233
70780796024330,118306
70780914878405,117244
70781032725511,117694
70781151001688,118630
70781270201415,118083
70781388830697,117052
70781506425182,117633
70781624629828,117467
70781742653256,116829
70781860046133,117126
70781977735143,116709
70782095019557,116230
70782211806170,116677
70782329040895,116830
70782446411369,117191
70782564172247,117016
70782681724948,117149
70782799475350,117973
70782918028344,117340
70783035931045,117481
70783153979847,116627
70783271190166,116783
70783388565020,117304
70783506454979,118594
70783625620019,118327
70783744508203,116730
70783861824494,116840
70783979239882,117924
70784097776825,118191
70784216555557,117829
70784334972205,118882
70784454423658,119141
70784574131225,116769
70784691457866,118051
70784810074094,119390
70784930043503,117145
70785047768972,117522
70785165838465,117807
70785284205425,117320
70785402156884,116092
70785518890279,117089
70785636512723,117827
70785754914467,117012
70785872504892,117904
70785991016372,117917
70786109522944,118440
70786228537392,118040
70786347176706,117999
70786465749575,118657
70786585003724,118479
70786704040615,117923
70786822514991,118545
70786941628720,117820
70787060059945,117756
70787178374982,118198
70787297156208,117070
