roundStartTime,opAverageDurationInRound
37137477091657,873954
37138351393493,878130
37139229808933,902464
37140132553777,922026
37141054807647,918438
37141973528376,894866
37142868618103,890165
37143759109271,895966
37144655466374,941833
37145597654940,889365
37146487455272,884776
37147372578289,882474
37148255328630,900852
37149156578877,885257
37150042485579,899678
37150942491203,888316
37151831130964,886868
37152718411318,940645
37153659323329,910282
37154571166001,915166
37155486558258,909381
37156396166237,863027
37157259415539,946342
37158206010688,868929
37159075220212,867452
37159942900554,872580
37160815744457,895229
37161711198020,882824
37162594583723,901721
37163496549097,894295
37164391115713,879410
37165270767412,889780
37166160980534,885911
37167047140793,907105
37167954449922,868055
37168822718134,869041
37169691990679,883787
37170575982526,916912
37171493111526,885323
37172378654308,909542
37173288438508,885538
37174174213340,875856
37175050276988,884723
37175935269552,918913
37176854413389,887702
37177742316628,937476
37178680008318,910110
37179590343884,945262
37180535988658,907516
37181443840065,895629
37182339689794,930702
37183270645632,885454
37184156325530,869885
37185026416672,860345
37185886969931,870744
37186757921814,881257
37187639443241,936014
37188575932764,957279
37189533487957,887605
37190421359589,894982
37191316591793,916366
37192233300925,910309
37193143866153,885252
37194029329101,893201
37194922745273,901341
37195824392588,923668
37196748313529,900767
37197649301272,890176
37198539851498,914073
37199454158514,914535
37200368927081,885708
37201254859013,906596
37202161662798,874812
37203036707199,865906
37203902822943,905207
37204808230809,871458
37205679876556,891565
37206571678891,881178
37207453054768,854683
37208307963150,874898
37209183210458,863724
37210047131573,861713
37210909062783,860581
37211769838750,875804
37212645856788,870311
37213516372707,904488
37214421065198,862497
37215283810118,880854
37216164920544,877764
37217042922707,871468
37217914726490,869060
37218784005043,936601
37219720875761,944233
37220665477582,944249
37221609962911,886918
37222497093119,886187
37223383485029,886003
37224269710463,854127
37225124042356,868922
37225993172651,889506
